,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Expenses,0.50,0.22,0.47,0.25,0.53,0.51,0.28,0.22
Operating Profit,-0.50,-0.22,-0.47,-0.25,-0.53,-0.51,-0.28,-0.22
OPM %,,,,,,,,
Other Income,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,0.36,0.35,0.32,0.32,0.32,0.43,0.34,0.34
Profit before tax,-0.86,-0.57,-0.79,-0.57,-0.85,-0.94,-0.62,-0.56
Tax %,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Net Profit,-0.86,-0.56,-0.79,-0.56,-0.85,-0.94,-0.62,-0.56
EPS in Rs,-0.56,-0.54,-0.77,-0.54,-0.59,-0.66,-0.43,-0.39
