,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.8200000000000001,3.27,3.77,3.77
Reserves,4.75,4.6,4.65,4.6,5.19,6.6,6.73,6.8100000000000005,6.57,13.43,15.03
Borrowings,4.93,11.3,10.41,15.3,12.81,17.36,22.64,14.9,29.96,32.23,31.34
Other Liabilities,1.52,2.34,2.77,2.44,3.4,4.25,5.14,4.06,4.97,6.48,7.87
Total Liabilities,12.02,19.06,18.65,23.16,22.22,29.03,35.33,26.59,44.77,55.91,58.01
Fixed Assets,7.58,15.59,15.4,15.0,15.53,17.99,17.7,16.93,17.08,16.73,16.37
CWIP,0.0,0.0,0.0,0.01,0.0,0.01,0.96,1.16,0.0,0.0,0.0
Investments,0.28,0.28,0.0,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0.0
Other Assets,4.16,3.19,3.25,8.15,6.69,10.91,16.55,8.5,27.69,39.18,41.64
Total Assets,12.02,19.06,18.65,23.16,22.22,29.03,35.33,26.59,44.77,55.91,58.01
