,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,1.96,2.15,4.16,3.39,15.77,8.25,3.63,5.24,4.03,9.36
Inventory Days,5.74,7.47,5.07,20.28,7.34,38.3,17.66,62.57,13.36,28.29
Days Payable,28.71,56.01,64.89,18.66,51.36,106.65,138.08,151.79,92.31,99.92
Cash Conversion Cycle,-21.0,-46.4,-55.66,5.01,-28.25,-60.09,-116.79,-83.98,-74.92,-62.27
Working Capital Days,89.78,3.76,18.72,204.33,92.24,150.73,152.63,103.31,25.51,-11.2
ROCE %,,10.21,5.58,7.98,10.98,9.95,9.31,5.01,15.05,18.22
