,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Promoters,73.41,73.42,73.42,73.42,73.42,73.42
Public,26.59,26.59,26.59,26.59,26.58,26.59
No. of Shareholders,368.0,83.0,86.0,100.0,127.0,157.0
