,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,1.52,2.94,1.09,-2.54,4.93,-0.39,0.7000000000000001,6.29,-12.28,-3.77
Cash from Investing Activity,0.01,-7.87,0.52,0.0,-0.97,-2.96,-1.08,0.11,0.15,-0.35
Cash from Financing Activity,-1.51,5.39,-1.94,2.77,-4.23,3.46,4.25,-9.0,13.39,2.95
Net Cash Flow,0.02,0.46,-0.33,0.23,-0.28,0.11,3.88,-2.61,1.25,-1.17
