,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,7.44,6.8,7.02,8.61,9.26,13.27,15.09,6.96,16.31,21.84,24.44
Expenses,6.16,5.57,5.69,6.96,6.65,10.93,12.14,5.1,10.8,13.88,15.41
Operating Profit,1.28,1.23,1.33,1.65,2.61,2.34,2.95,1.86,5.51,7.96,9.03
OPM %,17.2,18.09,18.95,19.16,28.19,17.63,19.55,26.72,33.78,36.45,36.95
Other Income,0.13,0.46,0.64,0.37,0.15,0.6,0.59,0.33,0.2,1.22,0.75
Interest,0.68,1.18,1.09,1.28,1.37,1.37,1.68,1.19,1.7,2.68,3.07
Depreciation,0.58,0.3,0.55,0.56,0.59,0.76,0.96,0.94,1.02,1.05,1.04
Profit before tax,0.15,0.21,0.33,0.18,0.8,0.81,0.9,0.06,2.99,5.45,5.67
Tax %,33.33,166.67,81.82,133.33,26.25,-83.95,30.0,116.67,23.08,26.24,
Net Profit,0.1,-0.14,0.06,-0.05,0.59,1.48,0.63,0.0,2.31,4.03,4.18
EPS in Rs,1.22,-1.71,0.73,-0.61,7.22,18.11,7.71,0.0,7.07,10.69,11.09
