,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,658.0,762.0,1551.0,1066.0,1052.0,1110.0,1149.0,1168.0,1119.0,1070.0,1133.0,1180.0
Expenses,644.0,745.0,1318.0,978.0,994.0,1074.0,1098.0,1092.0,1037.0,1034.0,1057.0,1082.0
Operating Profit,14.0,17.0,232.0,88.0,58.0,36.0,50.0,75.0,82.0,36.0,77.0,98.0
OPM %,2.0,2.0,15.0,8.0,6.0,3.0,4.0,6.0,7.0,3.0,7.0,8.0
Other Income,96.0,144.0,27.0,132.0,172.0,5802.0,172.0,248.0,78.0,98.0,114.0,108.0
Interest,8.0,8.0,19.0,40.0,40.0,37.0,40.0,35.0,38.0,24.0,39.0,46.0
Depreciation,32.0,29.0,76.0,85.0,82.0,92.0,106.0,118.0,118.0,114.0,124.0,135.0
Profit before tax,70.0,123.0,164.0,96.0,108.0,5709.0,76.0,170.0,5.0,-3.0,28.0,25.0
Tax %,-8.0,-6.0,29.0,-14.0,-28.0,-0.0,55.0,-40.0,-989.0,1062.0,41.0,25.0
Net Profit,75.0,130.0,117.0,110.0,137.0,5733.0,34.0,239.0,52.0,26.0,17.0,18.0
EPS in Rs,18.03,31.18,28.0,25.61,32.0,1370.42,8.28,56.79,9.73,4.84,3.2,3.81
