,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4,78,78,78,78,78,78
Reserves,128,430,444,485,543,528,542
Borrowings,7,132,121,327,764,924,932
Other Liabilities,16,30,70,154,242,265,258
Total Liabilities,154,670,713,1044,1626,1795,1809
Fixed Assets,8,31,47,56,78,81,107
CWIP,2,2,1,5,11,35,0
Investments,0,24,9,0,10,44,24
Other Assets,144,614,656,982,1528,1634,1677
Total Assets,154,670,713,1044,1626,1795,1809
