,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,30.54,46.18,48.67,50.22,48.18,51.49,68.3,65.17,53.9,64.83,72.69,67.5
Expenses,26.14,40.18,41.87,43.88,41.64,45.28,57.77,57.3,47.48,56.44,64.69,59.19
Operating Profit,4.4,6.0,6.8,6.34,6.54,6.21,10.53,7.87,6.42,8.39,8.0,8.31
OPM %,14.41,12.99,13.97,12.62,13.57,12.06,15.42,12.08,11.91,12.94,11.01,12.31
Other Income,0.76,1.32,0.42,0.42,0.08,0.18,0.28,0.46,0.6,0.93,0.73,0.8
Interest,0.3,0.48,0.76,0.71,0.69,0.94,1.28,1.67,1.94,2.12,2.13,2.1
Depreciation,1.96,2.18,2.95,3.02,2.59,2.48,3.16,3.27,3.64,3.85,3.81,3.89
Profit before tax,2.9,4.66,3.51,3.03,3.34,2.97,6.37,3.39,1.44,3.35,2.79,3.12
Tax %,17.93,29.83,25.64,25.74,24.85,25.93,25.43,27.14,27.08,22.69,25.09,26.28
Net Profit,2.38,3.27,2.6,2.26,2.51,2.2,4.76,2.47,1.06,2.58,2.09,2.29
EPS in Rs,2.12,2.91,2.31,2.01,2.23,1.96,4.24,2.16,0.93,2.25,1.83,2.0
