,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,79,-6,4,29,39,83,26,88,119,65,57,46
Cash from Investing Activity,-1,15,-16,-25,-13,-64,-124,-94,-44,4,1,-3
Cash from Financing Activity,-78,-8,11,0,-27,-20,102,2,-72,-73,-54,-45
Net Cash Flow,0,1,-1,4,-1,0,4,-4,4,-3,4,-2
