,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,50.25,50.26,46.63,39.14
FIIs,3.02,6.19,2.51,8.81
DIIs,24.14,23.46,27.57,24.06
Public,22.58,20.1,23.28,27.98
No. of Shareholders,107627.0,160523.0,205430.0,275168.0
