,2023-03-01,2023-09-01
Equity Capital,10.88,13.18
Reserves,16.5,25.09
Borrowings,32.95,52.0
Other Liabilities,35.79,20.95
Total Liabilities,96.12,111.22
Fixed Assets,46.08,47.32
CWIP,9.3,22.55
Investments,0.0,0.0
Other Assets,40.74,41.35
Total Assets,96.12,111.22
