,2023-03-01
Depreciation,2.79
EPS in Rs,3.01
Expenses,72.03
Interest,3.64
Net Profit,3.28
OPM %,12.51
Operating Profit,10.3
Other Income,0.13
Profit before tax,4.0
Sales,82.33
Tax %,18.0
