,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,16.35,20.7,21.63,20.53,25.75,25.67,34.09,24.13,26.38,19.56,24.66,37.68,42.32
Expenses,13.94,16.98,16.58,16.91,20.61,20.55,28.95,21.18,23.19,17.47,21.78,34.62,39.00
Operating Profit,2.41,3.72,5.05,3.62,5.14,5.12,5.14,2.95,3.19,2.09,2.88,3.06,3.32
OPM %,14.74,17.97,23.35,17.63,19.96,19.95,15.08,12.23,12.09,10.69,11.68,8.12,7.84
Other Income,0.49,0.51,0.88,0.53,0.6,1.36,1.57,0.14,0.78,0.66,0.48,0.73,0.91
Interest,0.09,0.1,0.11,0.09,0.04,0.08,0.14,0.1,0.05,0.06,0.03,0.07,0.07
Depreciation,0.8,0.85,0.95,1.04,1.22,1.36,1.62,1.94,1.91,1.76,1.6,1.54,1.51
Profit before tax,2.01,3.28,4.87,3.02,4.48,5.04,4.95,1.05,2.01,0.93,1.73,2.18,2.65
Tax %,30.35,32.62,32.44,31.13,32.59,29.96,29.9,39.05,25.87,13.98,21.39,25.69,
Net Profit,1.39,2.22,3.28,2.08,3.02,3.52,3.47,0.65,1.48,0.79,1.35,1.62,1.99
EPS in Rs,2.82,4.51,6.66,4.22,6.13,7.15,7.05,1.32,3.01,1.6,2.74,3.29,4.05
