,2023-03-01
Depreciation,0.01
EPS in Rs,0.63
Expenses,0.49
Interest,0.0
Net Profit,0.19
OPM %,-2.08
Operating Profit,-0.01
Other Income,0.24
Profit before tax,0.22
Sales,0.48
Tax %,18.18
