,2010-03-01,2011-03-01,2012-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4,4,4,4,4,4,4,5,5,5,5
Reserves,3,4,5,18,22,30,35,42,51,55,56
Borrowings,8,19,30,49,53,61,61,79,78,70,65
Other Liabilities,6,8,7,24,25,26,19,23,22,32,34
Total Liabilities,21,35,46,95,105,121,119,149,157,162,161
Fixed Assets,7,14,21,40,38,38,45,46,43,43,37
CWIP,0,0,2,0,0,7,2,0,0,7,10
Investments,1,1,1,1,1,1,1,3,3,7,8
Other Assets,14,20,23,54,65,75,70,101,110,105,105
Total Assets,21,35,46,95,105,121,119,149,157,162,161
