,2010-03-01,2011-03-01,2012-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,52.0,47,43,38.0,50,36,53,40,53,49
Inventory Days,70.0,118,92,74.0,84,76,94,123,64,119
Days Payable,48.0,35,26,52.0,54,45,38,27,18,52
Cash Conversion Cycle,74.0,130,108,60.0,79,68,109,136,100,116
Working Capital Days,66.0,89,93,49.0,68,59,82,103,92,96
ROCE %,,20,14,,17,20,13,15,14,4
