,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5.0,5.0,5.0,17.4,17.4
Reserves,-0.94,-3.29,5.36,0.95,8.06
Borrowings,5.37,5.87,8.78,0.0,0.0
Other Liabilities,7.02,9.62,28.69,53.97,52.81
Total Liabilities,16.45,17.2,47.83,72.32,78.27
Fixed Assets,4.44,7.37,3.41,3.08,3.14
CWIP,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0
Other Assets,12.01,9.83,44.42,69.24,75.13
Total Assets,16.45,17.2,47.83,72.32,78.27
