,2023-09-01
Depreciation,0.32
EPS in Rs,4.09
Expenses,13.31
Interest,0.01
Net Profit,7.11
OPM %,42.38
Operating Profit,9.79
Other Income,0.04
Profit before tax,9.5
Sales,23.1
Tax %,25.16
