,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,2.5,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1
Reserves,0.0,0.0,0.0,0.0,-0.06,-0.06,-0.12,0.13,0.65,0.68
Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,-0.01,0.01,0.0,0.01,0.0,0.0,0.01,0.28,4.05,2.84
Total Liabilities,2.49,3.11,3.1,3.11,3.04,3.04,2.99,3.51,7.8,6.62
Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,2.49,1.86,1.11,1.66,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,0.0,1.25,1.99,1.45,3.04,3.04,2.99,3.51,7.8,6.62
Total Assets,2.49,3.11,3.1,3.11,3.04,3.04,2.99,3.51,7.8,6.62
