,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5,5,5,5,5,5,5,5,5,5
Reserves,17,20,27,37,47,70,85,99,102,115
Borrowings,40,62,87,126,161,191,165,178,296,309
Other Liabilities,26,31,28,47,54,48,53,58,74,64
Total Liabilities,88,118,146,215,268,315,308,340,478,493
Fixed Assets,7,34,34,36,34,78,74,107,106,103
CWIP,14,3,14,35,45,14,21,0,20,23
Investments,1,0,0,0,0,0,0,0,0,0
Other Assets,66,82,99,144,188,223,213,233,351,367
Total Assets,88,118,146,215,268,315,308,340,478,493
