,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,64.95,64.95,74.82,74.82,74.82,74.82,74.82
Public,35.06,35.05,25.17,25.18,25.18,25.18,25.17
No. of Shareholders,143.0,78.0,60.0,34.0,57.0,150.0,1454.0
