,2017-03-01,2023-06-01,2023-09-01
Sales,53.59,76.2,13.64
Expenses,51.69,72.21,13.0
Operating Profit,1.9,3.99,0.64
OPM %,3.55,5.24,4.69
Other Income,0.01,0.0,0.03
Interest,0.69,0.52,0.04
Depreciation,0.3,0.12,0.12
Profit before tax,0.92,3.35,0.51
Tax %,36.96,25.67,21.57
Net Profit,0.57,2.49,0.41
EPS in Rs,0.07,0.2,0.03
