,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1,1,1,1,3,4,4,4,4,4,13,13
Reserves,1,1,2,3,2,11,13,15,25,35,38,41
Borrowings,18,28,20,26,31,33,26,31,25,37,45,7
Other Liabilities,2,2,13,10,12,8,4,7,13,10,10,7
Total Liabilities,21,32,35,39,47,56,47,57,67,86,105,68
Fixed Assets,3,3,6,7,7,6,4,3,2,3,2,2
CWIP,0,3,0,0,0,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,0,0,0,3
Other Assets,18,26,29,32,40,50,43,53,65,83,103,63
Total Assets,21,32,35,39,47,56,47,57,67,86,105,68
