,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,16.62,11.54,11.21,12.31,15.86
Expenses,15.71,10.68,10.44,9.73,13.00
Operating Profit,0.91,0.86,0.77,2.58,2.86
OPM %,5.48,7.45,6.87,20.96,18.03
Other Income,0.01,-0.0,-0.0,0.02,0.13
Interest,0.41,0.44,0.51,0.65,0.71
Depreciation,0.31,0.26,0.22,0.17,0.16
Profit before tax,0.2,0.16,0.04,1.78,2.12
Tax %,20.0,25.0,25.0,30.34,
Net Profit,0.16,0.12,0.03,1.25,1.46
EPS in Rs,0.48,0.36,0.09,1.26,1.24
