,2021-03-01,2022-03-01,2023-03-01
Debtor Days,152.83,41.42,59.2
Inventory Days,12.12,26.64,93.86
Days Payable,133.94,23.65,147.43
Cash Conversion Cycle,31.02,44.42,5.64
Working Capital Days,38.54,54.05,47.44
ROCE %,,43.12,20.12
