,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,76.9,187.06,57.71,41.04
Expenses,74.21,175.6,46.56,30.83
Operating Profit,2.69,11.46,11.15,10.21
OPM %,3.5,6.13,19.32,24.88
Other Income,0.0,0.15,0.08,0.03
Interest,0.0,0.0,0.41,0.00
Depreciation,0.02,0.13,0.32,0.31
Profit before tax,2.67,11.48,10.5,9.93
Tax %,25.47,20.82,19.05,
Net Profit,1.99,9.27,8.5,7.54
EPS in Rs,4.98,18.95,17.37,15.41
