,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,8.23,14.75,23.74,45.07,14.8,7.03,19.62,21.2,7.2,2.22
Expenses,0.0,7.73,13.76,21.51,42.55,14.56,6.65,19.11,20.56,10.34,6.87
Operating Profit,0.0,0.5,0.99,2.23,2.52,0.24,0.38,0.51,0.64,-3.14,-4.65
OPM %,,6.08,6.71,9.39,5.59,1.62,5.41,2.6,3.02,-43.61,-209.46
Other Income,0.0,0.09,0.27,0.32,0.86,0.64,0.58,0.16,0.03,0.02,0.01
Interest,0.0,0.47,0.51,0.56,0.48,0.45,0.37,0.27,0.27,0.64,0.70
Depreciation,0.0,0.1,0.25,0.31,0.38,0.39,0.35,0.34,0.34,0.34,0.35
Profit before tax,0.0,0.02,0.5,1.68,2.52,0.04,0.24,0.06,0.06,-4.1,-5.69
Tax %,,0.0,90.0,8.33,25.0,-175.0,25.0,66.67,16.67,0.73,
Net Profit,0.0,0.01,0.05,1.54,1.89,0.12,0.17,0.02,0.05,-4.07,-5.65
EPS in Rs,0.0,0.1,0.05,1.56,1.89,0.12,0.17,0.02,0.05,-4.07,-5.65
