,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.4,0.75,7.4,7.4,7.51,10.01,10.01,10.01,10.01,10.01,10.01
Reserves,0.0,0.16,0.21,1.75,5.02,4.23,2.73,2.86,5.64,3.0,3.34
Borrowings,3.45,6.4,4.08,2.08,2.23,3.24,3.18,2.87,3.15,6.12,6.09
Other Liabilities,0.24,1.86,6.63,8.98,12.34,6.92,6.67,7.29,9.77,5.62,1.1
Total Liabilities,4.09,9.17,18.32,20.21,27.1,24.4,22.59,23.03,28.57,24.75,20.54
Fixed Assets,3.35,3.89,5.79,7.36,7.33,7.01,6.7,6.36,6.07,5.73,5.5600000000000005
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.66,1.7000000000000002,2.25,0.74,0.89,4.1,1.55,2.58
Other Assets,0.74,5.28,12.53,12.19,18.07,15.14,15.15,15.78,18.4,17.47,12.4
Total Assets,4.09,9.17,18.32,20.21,27.1,24.4,22.59,23.03,28.57,24.75,20.54
