,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,3.62,3.62,3.62,3.62,3.62,3.62,3.56,3.56,3.56,3.56,3.56,3.56
Reserves,2.18,2.5700000000000003,3.45,4.04,4.64,6.19,6.91,2.88,1.97,2.21,4.53,5.25
Preference Capital,6.0,6.0,4.75,3.7,3.4,0.0,2.09,2.02,1.76,1.91,2.05,2.05
Borrowings,0.0,0.0,0.54,0.56,2.12,4.63,2.78,2.91,2.72,1.58,0.85,0.0
Other Liabilities,6.82,6.88,5.7,4.71,4.95,1.9,3.78,3.45,3.11,3.3,3.43,3.35
Total Liabilities,12.62,13.07,13.31,12.93,15.33,16.34,17.03,12.8,11.36,10.65,12.37,12.16
Fixed Assets,1.63,1.6800000000000002,1.64,1.53,8.06,8.11,8.88,8.07,7.9,7.75,8.63,8.44
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,9.43,9.51,3.64,6.49,6.37,7.17,7.18,4.31,3.12,1.38,0.79,0.72
Other Assets,1.56,1.88,8.03,4.91,0.9,1.06,0.97,0.42,0.34,1.52,2.95,3.0
Total Assets,12.62,13.07,13.31,12.93,15.33,16.34,17.03,12.8,11.36,10.65,12.37,12.16
