,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.39,1.51,1.95,2.33,2.17,2.57,2.48,1.58,0.92,0.65,0.75,1.59,0.80
Expenses,0.92,0.95,1.19,1.3,1.27,1.91,1.51,1.85,0.74,0.75,0.62,0.61,0.64
Operating Profit,0.47,0.56,0.76,1.03,0.9,0.66,0.97,-0.27,0.18,-0.1,0.13,0.98,0.16
OPM %,33.81,37.09,38.97,44.21,41.47,25.68,39.11,-17.09,19.57,-15.38,17.33,61.64,20.00
Other Income,0.02,0.03,0.09,-0.01,0.03,1.17,0.23,0.05,0.04,2.13,-5.31,0.1,0.12
Interest,0.0,0.0,0.0,0.0,0.02,0.03,0.21,0.17,0.18,0.16,0.14,0.0,0.00
Depreciation,0.11,0.07,0.08,0.13,0.11,0.18,0.2,0.2,0.2,0.2,0.19,0.18,0.16
Profit before tax,0.38,0.52,0.77,0.89,0.8,1.62,0.79,-0.59,-0.16,1.67,-5.51,0.9,0.12
Tax %,34.21,30.77,-14.29,32.58,33.75,26.54,36.71,-13.56,6.25,-11.98,17.97,17.78,
Net Profit,0.26,0.37,0.88,0.59,0.6,1.18,0.5,-0.68,-0.16,1.86,-4.52,0.74,0.30
EPS in Rs,0.07,0.1,0.24,0.16,0.17,0.33,0.14,-0.19,-0.04,0.52,-1.27,0.21,0.08
