,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3.61,3.35,3.0,3.2,3.49,3.25,3.31,3.7,3.75,0.99,2.13,3.66,3.49
Expenses,0.3,0.21,0.23,0.26,0.39,0.35,0.44,0.43,0.38,0.31,0.38,0.41,0.46
Operating Profit,3.31,3.14,2.77,2.94,3.1,2.9,2.87,3.27,3.37,0.68,1.75,3.25,3.03
OPM %,91.69,93.73,92.33,91.88,88.83,89.23,86.71,88.38,89.87,68.69,82.16,88.8,86.82
Other Income,0.93,1.33,1.51,1.11,1.81,1.87,1.71,1.96,2.17,2.06,1.44,1.97,2.64
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
Depreciation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04
Profit before tax,4.19,4.42,4.23,4.0,4.86,4.72,4.53,5.18,5.49,2.69,3.14,5.17,5.63
Tax %,27.45,24.21,22.46,31.75,33.13,18.22,25.83,21.43,21.68,15.61,13.69,17.79,
Net Profit,3.04,3.34,3.27,2.73,3.25,3.86,3.37,4.08,4.3,2.27,2.72,4.25,4.59
EPS in Rs,8.03,8.82,8.63,7.21,8.58,10.19,8.9,10.77,11.35,5.99,7.18,11.22,12.12
