,Mar 2011,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,4.71,6.06,7.42,8.46,7.48,7.27,11.02,10.34,9.72,7.85,13.71,13.21,14.61
Expenses,4.62,5.91,7.32,7.98,7.21,7.02,10.73,10.11,9.29,7.5,13.2,12.61,13.80
Operating Profit,0.09,0.15,0.1,0.48,0.27,0.25,0.29,0.23,0.43,0.35,0.51,0.6,0.81
OPM %,1.91,2.48,1.35,5.67,3.61,3.44,2.63,2.22,4.42,4.46,3.72,4.54,5.54
Other Income,0.01,0.06,1.62,0.06,0.13,0.1,0.17,0.4,0.25,0.25,0.12,0.33,0.10
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.01,0.0,0.0,0.04,0.00
Depreciation,0.09,0.14,0.15,0.45,0.32,0.29,0.37,0.44,0.54,0.57,0.49,0.61,0.79
Profit before tax,0.01,0.07,1.57,0.09,0.08,0.06,0.07,0.18,0.13,0.03,0.14,0.28,0.12
Tax %,200.0,42.86,21.02,11.11,-50.0,33.33,-28.57,22.22,15.38,-33.33,0.0,7.14,
Net Profit,-0.01,0.04,1.24,0.08,0.13,0.04,0.09,0.14,0.11,0.05,0.14,0.25,0.12
EPS in Rs,-0.02,0.1,2.95,0.19,0.31,0.1,0.21,0.33,0.26,0.12,0.33,0.6,0.30
