,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,241.0,92,79,75
Inventory Days,271.0,152,161,158
Days Payable,209.0,137,144,108
Cash Conversion Cycle,302.0,106,96,124
Working Capital Days,239.0,89,99,113
ROCE %,,19,24,16
