,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,700.0,1637.0,2498.0,2553.0,1928
Expenses,595.0,1353.0,2119.0,2211.0,1812
Operating Profit,105.0,283.0,379.0,342.0,116
OPM %,15.0,17.0,15.0,13.0,6
Other Income,130.0,30.0,102.0,114.0,70
Interest,18.0,11.0,9.0,66.0,76
Depreciation,22.0,51.0,63.0,77.0,87
Profit before tax,194.0,252.0,409.0,313.0,23
Tax %,23.0,26.0,26.0,24.0,
Net Profit,150.0,186.0,304.0,238.0,13
EPS in Rs,29914.0,37296.0,11.97,9.35,0.50
