,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.1,0.00,15.44,16.39,7.09,-0.15,0.00,0.0,0.00,0.00,0.00,0.00,0.0
Expenses,0.07,0.05,15.51,16.39,7.23,0.62,0.11,1.06,0.09,1.62,0.04,0.43,0.43
Operating Profit,0.03,-0.05,-0.07,0.00,-0.14,-0.77,-0.11,-1.06,-0.09,-1.62,-0.04,-0.43,-0.43
OPM %,30.0,,-0.45,0.00,-1.97,,,-82.76,,,,,
Other Income,0.0,0.10,-0.1,0.00,0.01,-0.09,0.03,0.58,-1.08,0.29,0.00,0.00,0.0
Interest,0.0,0.00,0.01,0.00,0.0,0.01,0.00,0.0,0.00,0.00,0.00,0.00,0.0
Depreciation,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.0
Profit before tax,0.03,0.05,-0.18,0.00,-0.13,-0.87,-0.08,-0.48,-1.17,-1.33,-0.04,-0.43,-0.43
Tax %,66.67,0.00,0.0,,-30.77,0.00,175.00,31.25,25.64,26.32,25.00,20.93,
Net Profit,0.01,0.05,-0.18,0.00,-0.17,-0.87,0.06,-0.33,-0.86,-0.99,-0.03,-0.33,-0.33
EPS in Rs,0.01,0.03,-0.1,0.00,-0.09,-0.48,0.03,-0.18,-0.47,-0.54,-0.02,-0.18,-0.19
