,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,50.34,50.3,50.44,50.21,50.16,51.61,51.59
FIIs,21.99,26.13,22.96,22.81,25.32,26.04,25.74
DIIs,23.98,18.91,20.2,19.49,14.45,13.48,11.94
Public,3.69,4.66,6.4,7.49,10.07,8.86,10.72
No. of Shareholders,8845.0,9342.0,8501.0,13170.0,17831.0,19402.0,17921.0
