,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,70.9,70.9,70.9,70.9,70.9,70.96,70.97,70.97
DIIs,0.0,0.0,0.0,0.0,1.72,0.0,0.0,0.0
Public,29.1,29.1,29.1,29.09,27.38,29.04,29.02,29.03
No. of Shareholders,11708.0,10555.0,10148.0,9975.0,10166.0,21710.0,27838.0,30841.0
