,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.01,0.01,4.4,6.0,12.5,12.5
Reserves,0.0,0.31,0.49,0.6900000000000001,10.8,11.24
Borrowings,0.0,11.2,6.09,9.72,0.75,14.95
Other Liabilities,0.0,9.15,9.45,11.91,16.63,8.97
Total Liabilities,0.01,20.67,20.43,28.32,40.68,47.66
Fixed Assets,0.0,1.89,2.52,2.33,0.46,0.43
CWIP,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.01,0.01,0.01,0.01
Other Assets,0.01,18.78,17.9,25.98,40.21,47.22
Total Assets,0.01,20.67,20.43,28.32,40.68,47.66
