,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.59,0.54,0.49,0.45,0.44,0.37,0.63,0.66,0.77,0.44,0.4,0.35
Expenses,0.26,0.3,0.34,0.3,0.32,0.4,0.12,0.33,0.35,0.36,0.32,0.33
Operating Profit,0.33,0.24,0.15,0.15,0.12,-0.03,0.51,0.33,0.42,0.08,0.08,0.02
OPM %,55.93,44.44,30.61,33.33,27.27,-8.11,80.95,50.0,54.55,18.18,20.0,5.71
Other Income,0.0,0.0,0.0,0.01,0.0,0.05,0.0,0.0,-0.01,0.0,0.0,0.00
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.00
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.09,0.06,0.06
Profit before tax,0.33,0.24,0.15,0.16,0.12,0.02,0.51,0.33,0.4,-0.03,-0.02,-0.04
Tax %,18.18,16.67,26.67,25.0,16.67,0.0,29.41,30.3,22.5,0.0,50.0,
Net Profit,0.27,0.19,0.11,0.11,0.1,0.02,0.36,0.23,0.31,-0.02,-0.02,-0.03
EPS in Rs,0.54,0.38,0.22,0.22,0.2,0.04,0.72,0.46,0.62,-0.04,-0.04,-0.06
