,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Reserves,2.42,2.61,2.73,2.84,2.94,2.95,3.31,3.55,3.86,3.84,3.82,3.79
Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.18,0.09,0.05
Other Liabilities,0.09,0.09,0.09,0.08,0.19,0.19,0.43,0.47,0.23,0.11,0.15,0.13
Total Liabilities,7.51,7.7,7.82,7.92,8.13,8.14,8.74,9.02,9.35,9.13,9.06,8.97
Fixed Assets,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.29,0.2,0.13,0.11
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,1.62,1.78,1.85,1.86,1.9,1.85,1.43,1.43,1.38,1.43,1.43,1.43
Other Assets,5.88,5.91,5.96,6.05,6.22,6.28,7.3,7.58,7.68,7.5,7.5,7.43
Total Assets,7.51,7.7,7.82,7.92,8.13,8.14,8.74,9.02,9.35,9.13,9.06,8.97
