,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,61,68,108,255,109,102,81,70,77,271,174,277
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,61,68,108,255,109,102,81,70,77,271,174,277
Working Capital Days,57,585,567,1513,1172,513,362,327,169,669,967,1019
ROCE %,6,5,4,6,1,2,4,6,1,1,3,-1
