,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,36.74,31.51,2.18,9.4,37.28,25.76
Expenses,36.40,31.97,1.66,8.92,35.29,24.43
Operating Profit,0.34,-0.46,0.52,0.48,1.99,1.33
OPM %,0.93,-1.46,23.85,5.11,5.34,5.16
Other Income,0.74,0.56,0.14,0.41,0.92,1.00
Interest,0.04,0.14,0.09,0.23,0.78,1.34
Depreciation,0.07,0.23,0.25,0.38,1.16,0.89
Profit before tax,0.97,-0.27,0.32,0.28,0.97,0.10
Tax %,27.84,7.41,53.12,53.57,31.96,
Net Profit,0.71,-0.24,0.16,0.13,0.66,-0.29
EPS in Rs,,,,0.04,0.09,0.01
