,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,265.0,313.0,642.0,837.0,709
Expenses,243.0,288.0,591.0,747.0,612
Operating Profit,22.0,25.0,50.0,90.0,97
OPM %,8.0,8.0,8.0,11.0,14
Other Income,1.0,1.0,2.0,8.0,12
Interest,3.0,3.0,3.0,13.0,15
Depreciation,9.0,10.0,10.0,17.0,27
Profit before tax,11.0,13.0,40.0,69.0,66
Tax %,26.0,26.0,27.0,22.0,
Net Profit,8.0,10.0,29.0,54.0,53
EPS in Rs,0.44,0.54,1.6,2.91,2.76
