,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,45,85,160,193,127,279
Cash from Investing Activity,-17,-94,-105,-187,-79,-270
Cash from Financing Activity,-5,-11,-55,-6,0,-55
Net Cash Flow,23,-20,0,0,49,-45
