,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2,11,13,13,17,17,28,28.0
Reserves,10,9,21,35,54,84,348,378.0
Preference Capital,5,3,6,3,0,1,1,
Borrowings,24,22,50,65,80,86,296,414.0
Other Liabilities,12,17,20,26,23,29,38,40.0
Total Liabilities,47,58,105,140,174,216,709,859.0
Fixed Assets,12,12,43,50,59,54,135,274.0
CWIP,0,1,0,0,8,10,103,50.0
Investments,0,0,0,0,0,0,0,0.0
Other Assets,36,46,62,90,107,152,471,535.0
Total Assets,47,58,105,140,174,216,709,859.0
