,2021-03-01,2021-06-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,94.0,87.0,106.0,124.0,142.0,127.0,123.0,252.0,240.0,302.0
Expenses,81.0,76.0,92.0,107.0,126.0,111.0,104.0,220.0,212.0,266.0
Operating Profit,13.0,11.0,13.0,17.0,16.0,16.0,18.0,31.0,28.0,36.0
OPM %,13.0,13.0,13.0,14.0,11.0,13.0,15.0,12.0,12.0,12.0
Other Income,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Interest,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0,7.0
Depreciation,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,9.0
Profit before tax,9.0,8.0,12.0,13.0,13.0,12.0,14.0,24.0,20.0,20.0
Tax %,27.0,25.0,20.0,25.0,25.0,25.0,28.0,27.0,22.0,27.0
Net Profit,7.0,6.0,9.0,10.0,10.0,9.0,10.0,17.0,15.0,15.0
EPS in Rs,3.99,3.35,5.49,5.76,3.74,3.64,3.98,6.25,5.59,5.35
