,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,87.0,105.0,134.0,161.0,254.0,431.0,644.0,917
Expenses,80.0,90.0,117.0,137.0,220.0,374.0,562.0,803
Operating Profit,7.0,15.0,17.0,23.0,34.0,56.0,82.0,114
OPM %,8.0,14.0,13.0,15.0,13.0,13.0,13.0,12
Other Income,1.0,0.0,0.0,0.0,1.0,3.0,1.0,2
Interest,3.0,3.0,3.0,7.0,8.0,8.0,10.0,18
Depreciation,2.0,3.0,2.0,5.0,6.0,8.0,9.0,20
Profit before tax,2.0,10.0,12.0,11.0,21.0,43.0,63.0,78
Tax %,33.0,36.0,31.0,30.0,29.0,25.0,26.0,
Net Profit,2.0,6.0,8.0,8.0,15.0,32.0,46.0,58
EPS in Rs,9.47,5.94,6.21,5.98,8.92,18.83,16.73,21.17
