,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,19.21,14.08,15.2,23.12,25.73
Expenses,17.85,11.95,12.04,20.25,25.84
Operating Profit,1.36,2.13,3.16,2.87,-0.11
OPM %,7.08,15.13,20.79,12.41,-0.43
Other Income,0.01,0.02,0.11,0.38,1.61
Interest,0.08,0.06,0.04,0.02,0.00
Depreciation,0.64,0.58,0.53,0.91,1.16
Profit before tax,0.65,1.51,2.7,2.32,0.34
Tax %,35.38,25.83,25.56,35.78,
Net Profit,0.42,1.13,2.01,1.49,-0.05
EPS in Rs,420.0,1130.0,2010.0,2.46,-0.09
