,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,599,599,599,600,600,601,602,602,684
Reserves,-1638,-1212,-655,-950,-2180,-3205,-4942,-6452,-6350
Borrowings,1230,1155,1303,1110,1097,9518,8332,7349,6740
Other Liabilities,2656,2448,2772,4045,13344,4438,5562,6272,5845
Total Liabilities,2847,2991,4019,4805,12861,11352,9555,7771,6918
Fixed Assets,1628,1620,1598,1626,8714,7033,5569,4006,3043
CWIP,0,0,0,0,0,6,6,20,21
Investments,20,140,101,0,0,0,0,0,0
Other Assets,1199,1231,2320,3178,4146,4313,3979,3743,3853
Total Assets,2847,2991,4019,4805,12861,11352,9555,7771,6918
