,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,89.18,89.18,73.18,73.18,73.18,73.18
FIIs,0.28,0.2,1.59,2.23,3.99,4.01
DIIs,4.95,2.88,0.34,1.0,1.87,0.36
Government,0.0,0.0,0.0,0.0,0.26,0.26
Public,5.58,7.73,24.89,23.58,20.71,22.17
No. of Shareholders,79356.0,67712.0,185124.0,310567.0,297623.0,470275.0
