,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,37.64,53.71,38.29,59.71,41.58,28.78,35.28,39.77,47.87,33.71,42.46,51.43,53.59
Expenses,30.43,44.62,31.27,52.8,39.86,27.05,29.95,33.3,41.07,28.03,37.39,43.12,44.23
Operating Profit,7.21,9.09,7.02,6.91,1.72,1.73,5.33,6.47,6.8,5.68,5.07,8.31,9.36
OPM %,19.16,16.92,18.33,11.57,4.14,6.01,15.11,16.27,14.21,16.85,11.94,16.16,17.47
Other Income,0.16,0.46,0.72,0.33,0.31,0.63,0.83,0.84,0.75,0.99,0.92,0.93,1.21
Interest,0.56,0.77,0.25,1.0,0.52,0.13,0.26,0.1,0.11,0.18,0.11,0.06,0.05
Depreciation,0.49,0.53,0.58,1.25,0.98,0.98,1.04,1.1,1.21,1.3,1.58,1.54,1.47
Profit before tax,6.32,8.25,6.91,4.99,0.53,1.25,4.86,6.11,6.23,5.19,4.3,7.64,9.05
Tax %,32.75,31.52,30.97,35.07,33.96,40.0,29.42,27.82,23.27,25.43,29.07,24.87,
Net Profit,4.25,5.65,4.77,3.24,0.35,0.74,3.43,4.41,4.78,3.87,3.05,5.74,6.58
EPS in Rs,12.25,16.28,13.89,9.43,1.02,2.15,9.98,12.84,13.91,11.27,8.88,16.71,19.15
