,2023-09-01
Depreciation,0.37
EPS in Rs,11.73
Expenses,40.97
Interest,0.11
Net Profit,5.88
OPM %,16.76
Operating Profit,8.25
Other Income,0.11
Profit before tax,7.88
Sales,49.22
Tax %,25.38
