,Mar 2022,Mar 2023,TTM
Sales,15.16,20.66,23.61
Expenses,13.99,20.14,22.81
Operating Profit,1.17,0.52,0.80
OPM %,7.72,2.52,3.39
Other Income,0.05,0.06,0.15
Interest,0.43,0.16,0.04
Depreciation,0.58,0.62,0.67
Profit before tax,0.21,-0.2,0.24
Tax %,28.57,5.0,
Net Profit,0.16,-0.19,0.26
EPS in Rs,6.4,-0.49,0.66
