,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.25,3.91,4.17
Reserves,0.18,3.94,7.63
Borrowings,5.34,0.48,0.49
Other Liabilities,2.26,1.42,1.86
Total Liabilities,8.03,9.75,14.15
Fixed Assets,3.86,4.08,4.6
CWIP,0.0,0.0,0.09
Investments,0.01,0.52,3.91
Other Assets,4.16,5.15,5.55
Total Assets,8.03,9.75,14.15
