,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,28.41,31.3,27.61,34.32,40.17,46.21,53.43,48.9,49.06,71.18,70.17,57.37,36.45
Expenses,23.7,30.25,44.54,33.02,38.76,44.92,51.97,47.62,48.35,69.89,69.47,56.56,39.55
Operating Profit,4.71,1.05,-16.93,1.3,1.41,1.29,1.46,1.28,0.71,1.29,0.7,0.81,-3.10
OPM %,16.58,3.35,-61.32,3.79,3.51,2.79,2.73,2.62,1.45,1.81,1.0,1.41,-8.50
Other Income,1.02,0.68,17.61,0.02,0.0,0.15,0.06,0.04,0.03,2.35,1.75,0.21,4.18
Interest,0.04,0.04,0.03,0.03,0.02,0.02,0.08,0.04,0.03,0.02,0.01,0.0,0.00
Depreciation,0.4,0.36,0.34,0.39,0.3,0.6,0.67,0.62,0.56,0.44,0.36,0.29,0.28
Profit before tax,5.29,1.33,0.31,0.9,1.09,0.82,0.77,0.66,0.15,3.18,2.08,0.73,0.80
Tax %,24.95,26.32,80.65,4.44,22.02,10.98,-222.08,27.27,53.33,91.19,2.88,30.14,
Net Profit,3.98,0.98,0.06,0.86,0.85,0.73,2.48,0.47,0.07,0.28,2.02,0.51,0.62
EPS in Rs,7.13,1.75,0.11,1.54,1.52,1.31,4.44,0.84,0.13,0.5,3.62,0.91,1.11
