,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,47.1,59.74,61.8,50.39,39.01,17.11,0.35,0.17,0.13,0.06,0.01,0.00,0.01
Expenses,41.87,59.29,60.63,53.81,34.93,19.43,1.84,1.51,1.47,0.45,0.36,0.13,0.25
Operating Profit,5.23,0.45,1.17,-3.42,4.08,-2.32,-1.49,-1.34,-1.34,-0.39,-0.35,-0.13,-0.24
OPM %,11.1,0.75,1.89,-6.79,10.46,-13.56,-425.71,-788.24,-1030.77,-650.0,-3500.0,,-2400.00
Other Income,4.59,4.82,0.4,0.17,0.14,0.2,0.1,0.08,3.53,0.34,0.0,0.34,0.50
Interest,3.96,3.61,3.01,3.07,3.02,2.78,2.64,1.18,0.0,0.0,0.0,0.00,0.00
Depreciation,5.97,6.23,5.63,5.66,4.59,3.84,3.17,2.59,2.18,1.83,1.52,0.00,0.45
Profit before tax,-0.11,-4.57,-7.07,-11.98,-3.39,-8.74,-7.2,-5.03,0.01,-1.88,-1.87,0.21,-0.19
Tax %,-2272.73,5.03,0.0,0.0,-4.13,0.0,0.0,0.0,0.0,0.0,0.0,0.00,
Net Profit,-2.6,-4.34,-7.07,-11.98,-3.53,-8.73,-7.2,-5.03,0.01,-1.88,-1.88,0.21,-0.21
EPS in Rs,-5.23,-4.53,-7.38,-12.5,-3.68,-9.11,-7.51,-5.25,0.01,-1.96,-1.96,0.22,-0.22
