,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
Public,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0
No. of Shareholders,1215.0,1030.0,1004.0,1013.0,1017.0,1055.0,1036.0,986.0
