,2020-12-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,10.21,10.69,12.92,10.59,10.12,8.14,8.0,7.45,12.21,12.9,15.14
Expenses,9.94,14.38,12.46,10.17,9.75,7.81,8.18,7.8,10.03,12.23,14.35
Operating Profit,0.27,-3.69,0.46,0.42,0.37,0.33,-0.18,-0.35,2.18,0.67,0.79
OPM %,2.64,-34.52,3.56,3.97,3.66,4.05,-2.25,-4.7,17.85,5.19,5.22
Other Income,0.01,0.01,0.0,0.04,0.01,0.0,0.0,0.0,0.14,0.12,0.0
Interest,0.18,0.12,0.11,0.15,0.12,0.06,0.08,0.09,0.15,0.13,0.15
Depreciation,0.29,0.2,0.29,0.27,0.21,0.22,0.23,0.27,0.25,0.24,0.26
Profit before tax,-0.19,-4.0,0.06,0.04,0.05,0.05,-0.49,-0.71,1.92,0.42,0.38
Tax %,0.0,0.0,166.67,0.0,-2800.0,160.0,2.04,9.86,13.54,33.33,-18.42
Net Profit,-0.19,-4.0,-0.04,0.04,1.45,-0.03,-0.48,-0.64,1.66,0.28,0.45
EPS in Rs,-0.18,-3.74,-0.04,0.04,1.36,-0.03,-0.45,-0.6,1.55,0.26,0.42
