,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,10.69,10.69,10.69,10.69,10.69,10.69,10.69
Reserves,21.73,26.82,27.62,23.45,20.81,21.79,22.48
Borrowings,11.79,10.05,2.76,4.15,3.76,6.66,4.85
Other Liabilities,4.57,6.59,4.78,5.94,3.49,3.73,4.83
Total Liabilities,48.78,54.15,45.85,44.23,38.75,42.87,42.85
Fixed Assets,2.74,5.52,4.86,3.93,3.66,4.0,3.98
CWIP,0.0,0.02,0.0,0.0,0.2,0.0,0.0
Investments,4.01,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,42.03,48.61,40.99,40.3,34.89,38.87,38.87
Total Assets,48.78,54.15,45.85,44.23,38.75,42.87,42.85
