,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,36.08,50.1,41.73,41.93,41.59,35.79,47.70
Expenses,26.96,40.72,38.65,44.62,44.18,33.81,44.41
Operating Profit,9.12,9.38,3.08,-2.69,-2.59,1.98,3.29
OPM %,25.28,18.72,7.38,-6.42,-6.23,5.53,6.90
Other Income,0.15,0.58,0.22,-0.15,-0.09,0.15,0.26
Interest,3.05,1.45,0.65,0.43,0.59,0.39,0.52
Depreciation,0.83,1.42,1.48,1.16,0.98,0.98,1.02
Profit before tax,5.39,7.09,1.17,-4.43,-4.25,0.76,2.01
Tax %,28.01,26.8,30.77,2.71,32.94,21.05,
Net Profit,3.88,5.19,0.8,-4.31,-2.85,0.61,1.75
EPS in Rs,3.63,4.85,0.75,-4.03,-2.67,0.57,1.63
