,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-6.55,-1.45,1.53,2.64,-0.65,1.54
Cash from Investing Activity,-5.34,0.75,6.44,-0.66,-0.48,-1.0
Cash from Financing Activity,13.38,-1.64,-7.91,0.67,-1.71,2.55
Net Cash Flow,1.49,-2.34,0.06,2.64,-2.84,3.09
