,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,80,80,80,88,88,88,88,88,412,482
Reserves,629,524,406,306,-42,-439,-706,-949,-176,303
Borrowings,1173,1008,1065,1074,1073,1076,1078,1078,806,226
Other Liabilities,128,68,86,100,183,303,475,656,66,101
Total Liabilities,2010,1680,1637,1569,1302,1029,935,873,1107,1111
Fixed Assets,1344,1322,1233,1156,1146,916,822,731,788,694
CWIP,131,61,95,87,3,0,0,0,11,42
Investments,1,0,0,0,0,0,0,0,6,10
Other Assets,535,297,308,326,152,113,113,142,302,366
Total Assets,2010,1680,1637,1569,1302,1029,935,873,1107,1111
