,2011-03-01,2012-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1.8,1.8,1.8,5.4,5.4,7.2,10.01,10.01,10.01,10.01,20.02,20.02
Reserves,2.11,2.62,4.06,3.14,4.06,5.16,14.96,17.81,34.19,38.24,32.23,33.98
Borrowings,9.82,13.61,18.63,18.6,18.58,17.4,13.99,23.91,29.25,29.84,25.77,23.27
Other Liabilities,3.93,5.63,4.04,7.03,6.82,7.61,9.63,9.5,10.55,13.03,7.75,9.8
Total Liabilities,17.66,23.66,28.53,34.17,34.86,37.37,48.59,61.23,84.0,91.12,85.77,87.07
Fixed Assets,4.74,6.17,11.88,13.59,14.02,14.1,15.02,14.77,46.23,52.46,53.69,52.29
CWIP,1.3,3.17,0.0,0.0,0.0,0.0,1.38,12.87,0.29,1.66,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,11.62,14.32,16.65,20.58,20.84,23.27,32.19,33.59,37.48,37.0,32.08,34.78
Total Assets,17.66,23.66,28.53,34.17,34.86,37.37,48.59,61.23,84.0,91.12,85.77,87.07
